Id,TeachingText,Mp3File,Provider,Model,Voice,Locale,ApprovalStatus
listen,Listen.,listen.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
listen-then-do-it,Listen. Then do it!,listen-then-do-it.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
hello,Hello!,hello.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
hi,Hi!,hi.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
goodbye,Goodbye!,goodbye.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
whats-your-name,What's your name?,whats-your-name.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
my-name-is,My name is ...,my-name-is.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
my-name-is-tom,My name is Tom.,my-name-is-tom.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
who-is-tom,Who is Tom?,who-is-tom.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
how-old-are-you,How old are you?,how-old-are-you.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
im-five,I'm five.,im-five.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
im-six,I'm six.,im-six.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
five-or-six,Five or six?,five-or-six.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
boy,Boy.,boy.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
girl,Girl.,girl.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
boy-or-girl,Boy or girl?,boy-or-girl.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
are-you-a-boy-or-a-girl,Are you a boy or a girl?,are-you-a-boy-or-a-girl.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
im-a-boy,I'm a boy.,im-a-boy.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
im-a-girl,I'm a girl.,im-a-girl.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
about-me-kimi,My name is Kimi. I'm six. I'm a boy.,about-me-kimi.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
happy,Happy.,happy.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
sad,Sad.,sad.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
tired,Tired.,tired.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
where-is-tired,Where is tired?,where-is-tired.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
how-are-you,How are you?,how-are-you.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
im-happy,I'm happy.,im-happy.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
im-sad,I'm sad.,im-sad.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
im-tired,I'm tired.,im-tired.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
how-is-she,How is she?,how-is-she.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
she-is-happy,She is happy.,she-is-happy.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
stand-up,Stand up.,stand-up.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
sit-down,Sit down.,sit-down.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
stand-or-sit,Stand or sit?,stand-or-sit.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
look,Look.,look.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
look-or-listen,Look or listen?,look-or-listen.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
point,Point.,point.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
touch,Touch.,touch.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
point-or-touch,Point or touch?,point-or-touch.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
show-me,Show me.,show-me.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
point-to-the-ball,Point to the ball.,point-to-the-ball.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
touch-the-table,Touch the table.,touch-the-table.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
give-me-the-ball,Give me the ball.,give-me-the-ball.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
take-the-ball,Take the ball.,take-the-ball.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
give-or-take,Give or take?,give-or-take.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
find-red,Find red.,find-red.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
touch-blue,Touch blue.,touch-blue.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
point-to-yellow,Point to yellow.,point-to-yellow.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
show-me-green,Show me green.,show-me-green.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
touch-green,Touch green.,touch-green.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
