ID,TeachingText,NormalizedText,SourceActivity,AudioDisposition,ResolvedAudioPath,Reason,QAStatus
"hello","Hello!","hello","01-hello (speakPrompt); 53a-hello (speakPrompt)","REUSE_LESSON_01","assets/audio/lesson-01/mp3/hello.mp3","Normalized text matches Lesson 1 approved registry.","RESOLVED"
"what-s-your-name","What's your name?","what's your name","02-name (speakPrompt); 53b-name (speakPrompt)","REUSE_LESSON_01","assets/audio/lesson-01/mp3/whats-your-name.mp3","Normalized text matches Lesson 1 approved registry.","RESOLVED"
"how-old-are-you","How old are you?","how old are you","03-age (speakPrompt); 53c-age (speakPrompt)","REUSE_LESSON_01","assets/audio/lesson-01/mp3/how-old-are-you.mp3","Normalized text matches Lesson 1 approved registry.","RESOLVED"
"how-are-you","How are you?","how are you","04-feeling (speakPrompt); 53d-feeling (speakPrompt)","REUSE_LESSON_01","assets/audio/lesson-01/mp3/how-are-you.mp3","Normalized text matches Lesson 1 approved registry.","RESOLVED"
"stand-up","Stand up.","stand up","05a-stand (actionPrompt)","REUSE_LESSON_01","assets/audio/lesson-01/mp3/stand-up.mp3","Normalized text matches Lesson 1 approved registry.","RESOLVED"
"sit-down","Sit down.","sit down","05b-sit (actionPrompt)","REUSE_LESSON_01","assets/audio/lesson-01/mp3/sit-down.mp3","Normalized text matches Lesson 1 approved registry.","RESOLVED"
"look","Look.","look","05c-look (actionPrompt)","REUSE_LESSON_01","assets/audio/lesson-01/mp3/look.mp3","Normalized text matches Lesson 1 approved registry.","RESOLVED"
"listen","Listen.","listen","05d-listen (actionPrompt)","REUSE_LESSON_01","assets/audio/lesson-01/mp3/listen.mp3","Normalized text matches Lesson 1 approved registry.","RESOLVED"
"point","Point.","point","06a-point (listenChoose); 06d-point (listenChoose)","REUSE_LESSON_01","assets/audio/lesson-01/mp3/point.mp3","Normalized text matches Lesson 1 approved registry.","RESOLVED"
"touch","Touch.","touch","06b-touch (listenChoose); 06c-touch (listenChoose)","REUSE_LESSON_01","assets/audio/lesson-01/mp3/touch.mp3","Normalized text matches Lesson 1 approved registry.","RESOLVED"
"red","Red.","red","07-old-colours-review:review:l2-colour-red (reviewItem); 25-ten-colours-review:review:l2-colour-red (reviewItem); 26a-red (listenChoose); 27c-red (listenChoose); 46a-red (learn)","REUSE_LESSON_01","assets/audio/lesson-01/mp3/red.mp3","Normalized text matches Lesson 1 approved registry.","RESOLVED"
"blue","Blue.","blue","07-old-colours-review:review:l2-colour-blue (reviewItem); 25-ten-colours-review:review:l2-colour-blue (reviewItem)","REUSE_LESSON_01","assets/audio/lesson-01/mp3/blue.mp3","Normalized text matches Lesson 1 approved registry.","RESOLVED"
"yellow","Yellow.","yellow","07-old-colours-review:review:l2-colour-yellow (reviewItem); 25-ten-colours-review:review:l2-colour-yellow (reviewItem); 26c-yellow (listenChoose); 28d-yellow (listenChoose)","REUSE_LESSON_01","assets/audio/lesson-01/mp3/yellow.mp3","Normalized text matches Lesson 1 approved registry.","RESOLVED"
"green","Green.","green","07-old-colours-review:review:l2-colour-green (reviewItem); 25-ten-colours-review:review:l2-colour-green (reviewItem); 28c-green (listenChoose)","REUSE_LESSON_01","assets/audio/lesson-01/mp3/green.mp3","Normalized text matches Lesson 1 approved registry.","RESOLVED"
"find-red","Find red.","find red","08-find-red (listenChoose)","REUSE_LESSON_01","assets/audio/lesson-01/mp3/find-red.mp3","Normalized text matches Lesson 1 approved registry.","RESOLVED"
"touch-blue","Touch blue.","touch blue","09-touch-blue (listenChoose)","REUSE_LESSON_01","assets/audio/lesson-01/mp3/touch-blue.mp3","Normalized text matches Lesson 1 approved registry.","RESOLVED"
"point-to-yellow","Point to yellow.","point to yellow","10-point-yellow (listenChoose)","REUSE_LESSON_01","assets/audio/lesson-01/mp3/point-to-yellow.mp3","Normalized text matches Lesson 1 approved registry.","RESOLVED"
"show-me-green","Show me green.","show me green","11-show-green (listenChoose)","REUSE_LESSON_01","assets/audio/lesson-01/mp3/show-me-green.mp3","Normalized text matches Lesson 1 approved registry.","RESOLVED"
"orange","Orange.","orange","12-orange (learn); 15a-orange (listenChoose); 20-new-colours-review:review:l2-colour-orange (reviewItem); 25-ten-colours-review:review:l2-colour-orange (reviewItem); 27a-orange (listenChoose)","APPROVED_LESSON_02","assets/audio/lesson-02/mp3/orange.mp3","","RESOLVED"
"pink","Pink.","pink","13-pink (learn); 15b-pink (listenChoose); 20-new-colours-review:review:l2-colour-pink (reviewItem); 25-ten-colours-review:review:l2-colour-pink (reviewItem); 27d-pink (listenChoose)","APPROVED_LESSON_02","assets/audio/lesson-02/mp3/pink.mp3","","RESOLVED"
"purple","Purple.","purple","14-purple (learn); 15c-purple (listenChoose); 20-new-colours-review:review:l2-colour-purple (reviewItem); 25-ten-colours-review:review:l2-colour-purple (reviewItem); 26b-purple (listenChoose)","APPROVED_LESSON_02","assets/audio/lesson-02/mp3/purple.mp3","","RESOLVED"
"black","Black.","black","16-black (learn); 19a-black (listenChoose); 20-new-colours-review:review:l2-colour-black (reviewItem); 25-ten-colours-review:review:l2-colour-black (reviewItem); 28a-black (listenChoose)","APPROVED_LESSON_02","assets/audio/lesson-02/mp3/black.mp3","","RESOLVED"
"white","White.","white","17-white (learn); 19b-white (listenChoose); 20-new-colours-review:review:l2-colour-white (reviewItem); 25-ten-colours-review:review:l2-colour-white (reviewItem); 28b-white (listenChoose)","APPROVED_LESSON_02","assets/audio/lesson-02/mp3/white.mp3","","RESOLVED"
"brown","Brown.","brown","18-brown (learn); 19c-brown (listenChoose); 20-new-colours-review:review:l2-colour-brown (reviewItem); 25-ten-colours-review:review:l2-colour-brown (reviewItem); 26d-brown (listenChoose); 27b-brown (listenChoose)","APPROVED_LESSON_02","assets/audio/lesson-02/mp3/brown.mp3","","RESOLVED"
"find-purple","Find purple.","find purple","21-find-purple (listenChoose); 52b-find-purple (listenChoose)","APPROVED_LESSON_02","assets/audio/lesson-02/mp3/find-purple.mp3","","RESOLVED"
"touch-orange","Touch orange.","touch orange","22-touch-orange (listenChoose)","APPROVED_LESSON_02","assets/audio/lesson-02/mp3/touch-orange.mp3","","RESOLVED"
"point-to-black","Point to black.","point to black","23-point-black (listenChoose)","APPROVED_LESSON_02","assets/audio/lesson-02/mp3/point-to-black.mp3","","RESOLVED"
"show-me-pink","Show me pink.","show me pink","24-show-pink (listenChoose)","APPROVED_LESSON_02","assets/audio/lesson-02/mp3/show-me-pink.mp3","","RESOLVED"
"what-colour-is-it-it-s-red","What colour is it? It's red.","what colour is it it's red","29-what-colour-red (speakPrompt)","APPROVED_LESSON_02","assets/audio/lesson-02/mp3/what-colour-is-it-it-s-red.mp3","","RESOLVED"
"what-colour-is-it","What colour is it?","what colour is it","30-what-colour-blue (speakPrompt); 31-what-colour-yellow (speakPrompt); 32-what-colour-orange (speakPrompt); 33-what-colour-purple (speakPrompt); 34-what-colour-brown (speakPrompt); 53e-blue (speakPrompt); 53f-orange (speakPrompt)","REUSE_LESSON_01","assets/audio/lesson-01/mp3/what-colour-is-it.mp3","Normalized text matches Lesson 1 approved registry.","RESOLVED"
"red-ball","Red ball.","red ball","35-colour-balls:review:ball-red (reviewItem); 46b-red-ball (learn)","APPROVED_LESSON_02","assets/audio/lesson-02/mp3/red-ball.mp3","","RESOLVED"
"blue-ball","Blue ball.","blue ball","35-colour-balls:review:ball-blue (reviewItem)","APPROVED_LESSON_02","assets/audio/lesson-02/mp3/blue-ball.mp3","","RESOLVED"
"yellow-ball","Yellow ball.","yellow ball","35-colour-balls:review:ball-yellow (reviewItem)","APPROVED_LESSON_02","assets/audio/lesson-02/mp3/yellow-ball.mp3","","RESOLVED"
"green-ball","Green ball.","green ball","35-colour-balls:review:ball-green (reviewItem)","APPROVED_LESSON_02","assets/audio/lesson-02/mp3/green-ball.mp3","","RESOLVED"
"orange-ball","Orange ball.","orange ball","35-colour-balls:review:ball-orange (reviewItem)","APPROVED_LESSON_02","assets/audio/lesson-02/mp3/orange-ball.mp3","","RESOLVED"
"pink-ball","Pink ball.","pink ball","35-colour-balls:review:ball-pink (reviewItem)","APPROVED_LESSON_02","assets/audio/lesson-02/mp3/pink-ball.mp3","","RESOLVED"
"purple-ball","Purple ball.","purple ball","35-colour-balls:review:ball-purple (reviewItem)","APPROVED_LESSON_02","assets/audio/lesson-02/mp3/purple-ball.mp3","","RESOLVED"
