"ID","TeachingText","Mp3File","Source","ReusedFrom","Provider","Model","Voice","Locale","ApprovalStatus","RuntimeUsage"
"welcome-to-lesson-3-let-s-count-choose-and-buy","Welcome to Lesson 3! Let's count, choose and buy!","welcome-to-lesson-3-let-s-count-choose-and-buy.mp3","GENERATED_LESSON_03","","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","RC_PENDING_HUMAN_REVIEW","01-cover"
"hello-what-s-your-name-how-are-you","Hello! What's your name? How are you?","hello-what-s-your-name-how-are-you.mp3","GENERATED_LESSON_03","","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","RC_PENDING_HUMAN_REVIEW","1/02-hello-routine"
"red-apple","Red apple.","red-apple.mp3","GENERATED_LESSON_03","","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","RC_PENDING_HUMAN_REVIEW","2/03-colour-flash/review-1"
"yellow-pencil","Yellow pencil.","yellow-pencil.mp3","GENERATED_LESSON_03","","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","RC_PENDING_HUMAN_REVIEW","2/03-colour-flash/review-3"
"green-book","Green book.","green-book.mp3","GENERATED_LESSON_03","","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","RC_PENDING_HUMAN_REVIEW","2/03-colour-flash/review-4"
"seven","Seven.","seven.mp3","GENERATED_LESSON_03","","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","RC_PENDING_HUMAN_REVIEW","3/04-number-speed"
"eleven-twelve-thirteen-fourteen-fifteen-sixteen-seventeen-eighteen-nineteen-twenty","Eleven. Twelve. Thirteen. Fourteen. Fifteen. Sixteen. Seventeen. Eighteen. Nineteen. Twenty.","eleven-twelve-thirteen-fourteen-fifteen-sixteen-seventeen-eighteen-nineteen-twenty.mp3","GENERATED_LESSON_03","","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","RC_PENDING_HUMAN_REVIEW","4/05-bonus-numbers"
"11","11","11.mp3","GENERATED_LESSON_03","","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","RC_PENDING_HUMAN_REVIEW","4/05-bonus-numbers/review-1"
"12","12","12.mp3","GENERATED_LESSON_03","","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","RC_PENDING_HUMAN_REVIEW","4/05-bonus-numbers/review-2"
"13","13","13.mp3","GENERATED_LESSON_03","","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","RC_PENDING_HUMAN_REVIEW","4/05-bonus-numbers/review-3"
"14","14","14.mp3","GENERATED_LESSON_03","","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","RC_PENDING_HUMAN_REVIEW","4/05-bonus-numbers/review-4"
"15","15","15.mp3","GENERATED_LESSON_03","","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","RC_PENDING_HUMAN_REVIEW","4/05-bonus-numbers/review-5"
"16","16","16.mp3","GENERATED_LESSON_03","","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","RC_PENDING_HUMAN_REVIEW","4/05-bonus-numbers/review-6"
